id,value1,value2,category
1,10,100,A
2,12,120,B
3,15,130,A
4,10,110,B
5,14,115,A
6,13,125,B
7,11,105,A
8,16,135,B
9,14,140,A
10,15,150,B
11,12,118,A
12,13,122,B
13,17,160,A
14,11,108,B
15,19,180,A
16,14,130,B
17,16,140,A
18,13,125,B
19,12,110,A
20,18,155,B
21,20,190,A
22,11,115,B
23,15,135,A
24,16,138,B
25,14,128,A
26,17,150,B
27,18,165,A
28,19,170,B
29,21,200,A
30,12,120,B
31,11,112,A
32,13,130,B
33,15,140,A
34,14,138,B
35,16,155,A
36,18,180,B
37,20,190,A
38,12,115,B
39,13,125,A
40,17,160,B
41,22,210,A
42,23,220,B
43,24,230,A
44,10,100,B
45,11,105,A
46,15,150,B
47,19,185,A
48,20,195,B
49,25,250,A
50,30,300,B
